,Gender
0,0
1,1
2,0
3,1
4,0
5,1
6,0
7,0
8,0
9,1
10,0
11,0
12,1
13,0
14,0
15,1
16,0
17,1
18,0
19,1
20,0
21,1
22,1
23,1
24,1
25,1
26,1
27,0
28,0
29,1
30,0
31,0
32,1
33,0
34,0
35,0
36,0
37,1
38,1
39,0
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,0
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,0
63,0
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,0
80,0
81,1
82,1
83,0
84,0
85,0
86,0
87,1
88,0
89,0
90,1
91,0
92,1
93,1
94,0
95,0
96,0
97,0
98,0
99,1
100,1
101,0
102,0
103,0
104,1
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,1
113,0
114,1
115,1
116,1
117,0
118,1
119,1
120,1
121,0
122,0
123,0
124,1
125,1
126,1
127,0
128,0
129,0
130,1
131,0
132,0
133,0
134,0
135,1
136,0
137,0
138,0
139,0
140,0
141,1
142,1
143,0
144,1
145,1
146,1
147,1
148,1
149,1
150,0
151,1
152,1
153,1
154,1
155,1
156,0
157,1
158,1
159,1
160,0
161,0
162,1
163,1
164,0
165,1
166,1
167,0
168,0
169,0
170,1
171,0
172,1
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,1
181,1
182,1
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,1
191,1
192,1
193,1
194,1
195,0
196,0
197,0
198,1
199,1
200,1
201,1
202,1
203,1
204,0
205,0
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,0
214,0
215,1
216,1
217,1
218,1
219,1
220,1
221,0
222,0
223,0
224,0
225,1
226,0
227,0
228,1
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,1
239,1
240,0
241,0
242,1
243,1
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,1
252,0
253,0
254,0
255,0
256,0
257,1
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,1
267,0
268,0
269,0
270,1
271,1
272,0
273,1
274,0
275,1
276,1
277,1
278,1
279,1
280,0
281,1
282,0
283,0
284,0
285,0
286,1
287,0
288,1
289,1
290,1
291,1
292,1
293,0
294,0
295,0
296,0
297,1
298,0
299,1
300,0
301,1
302,1
303,1
304,1
305,0
306,0
307,0
308,0
309,1
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,1
319,1
320,1
321,0
322,0
323,1
324,1
325,0
326,0
327,0
328,0
329,0
330,0
331,1
332,1
333,0
334,1
335,1
336,1
337,1
338,1
339,1
340,0
341,0
342,0
343,0
344,1
345,1
346,0
347,1
348,1
349,1
350,1
351,0
352,0
353,0
354,1
355,0
356,1
357,0
358,1
359,0
360,0
361,1
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,1
378,0
379,0
380,0
381,1
382,0
383,0
384,0
385,1
386,0
387,1
388,0
389,0
390,1
391,0
392,0
393,0
394,1
395,1
396,0
397,1
398,1
399,1
400,1
401,1
402,1
403,0
404,0
405,1
406,1
407,1
408,1
409,0
410,1
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,1
420,0
421,0
422,1
423,1
424,1
425,0
426,0
427,0
428,0
429,1
430,0
431,0
432,1
433,0
434,0
435,0
436,0
437,0
438,1
439,1
440,0
441,1
442,0
443,0
444,0
445,1
446,1
447,1
448,1
449,0
450,0
451,1
452,1
453,0
454,0
455,0
456,0
457,1
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,1
467,1
468,0
469,1
470,1
471,0
472,0
473,1
474,1
475,1
476,1
477,1
478,0
479,0
480,1
481,1
482,0
483,0
484,0
485,1
486,1
487,1
488,0
489,0
490,0
491,0
492,1
493,0
494,0
495,0
496,0
497,1
498,0
499,1
500,1
501,0
502,1
503,0
504,1
505,1
506,1
507,0
508,1
509,1
510,1
511,0
512,1
513,0
514,0
515,0
516,0
517,0
518,0
519,1
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,1
532,1
533,1
534,0
535,0
536,1
537,0
538,0
539,0
540,1
541,1
542,0
543,1
544,0
545,1
546,0
547,1
548,1
549,1
550,0
551,0
552,1
553,1
554,1
555,0
556,0
557,0
558,1
559,0
560,1
561,1
562,0
563,1
564,1
565,0
566,0
567,1
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,1
579,1
580,1
581,1
582,0
583,0
584,1
585,1
586,1
587,1
588,1
589,1
590,0
591,1
592,0
593,1
594,0
595,0
596,1
597,1
598,1
599,0
600,0
601,1
602,0
603,0
604,0
605,0
606,0
607,1
608,0
609,0
610,1
611,0
612,1
613,1
614,1
615,1
616,0
617,0
618,1
619,0
620,0
621,0
622,1
623,0
624,0
625,1
626,1
627,1
628,1
629,0
630,1
631,1
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,1
656,1
657,0
658,0
659,1
660,1
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,1
671,1
672,0
673,0
674,0
675,0
676,1
677,0
678,0
679,1
680,1
681,0
682,0
683,1
684,0
685,1
686,0
687,1
688,0
689,1
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,1
704,0
705,0
706,0
707,1
708,1
709,1
710,0
711,0
712,1
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,1
723,0
724,1
725,1
726,0
727,0
728,0
729,0
730,0
731,0
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,1
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,1
761,0
762,0
763,1
764,1
765,0
766,0
767,0
768,0
769,0
